"date","series_id","value","realtime_start","realtime_end"
2020-01-24,"DTB3",1.51,2026-03-11,2026-03-11
2020-01-27,"DTB3",1.52,2026-03-11,2026-03-11
2020-01-28,"DTB3",1.54,2026-03-11,2026-03-11
2020-01-29,"DTB3",1.53,2026-03-11,2026-03-11
2020-01-30,"DTB3",1.54,2026-03-11,2026-03-11
2020-01-31,"DTB3",1.52,2026-03-11,2026-03-11
2020-02-03,"DTB3",1.54,2026-03-11,2026-03-11
2020-02-04,"DTB3",1.54,2026-03-11,2026-03-11
2020-02-05,"DTB3",1.54,2026-03-11,2026-03-11
2020-02-06,"DTB3",1.54,2026-03-11,2026-03-11
2020-02-07,"DTB3",1.53,2026-03-11,2026-03-11
2020-02-10,"DTB3",1.55,2026-03-11,2026-03-11
2020-02-11,"DTB3",1.54,2026-03-11,2026-03-11
2020-02-12,"DTB3",1.55,2026-03-11,2026-03-11
2020-02-13,"DTB3",1.56,2026-03-11,2026-03-11
2020-02-14,"DTB3",1.55,2026-03-11,2026-03-11
2020-02-17,"DTB3",NA,2026-03-11,2026-03-11
2020-02-18,"DTB3",1.55,2026-03-11,2026-03-11
2020-02-19,"DTB3",1.55,2026-03-11,2026-03-11
2020-02-20,"DTB3",1.55,2026-03-11,2026-03-11
2020-02-21,"DTB3",1.53,2026-03-11,2026-03-11
2020-02-24,"DTB3",1.5,2026-03-11,2026-03-11
2020-02-25,"DTB3",1.5,2026-03-11,2026-03-11
2020-02-26,"DTB3",1.5,2026-03-11,2026-03-11
2020-02-27,"DTB3",1.42,2026-03-11,2026-03-11
2020-02-28,"DTB3",1.25,2026-03-11,2026-03-11
2020-03-02,"DTB3",1.1,2026-03-11,2026-03-11
2020-03-03,"DTB3",0.93,2026-03-11,2026-03-11
2020-03-04,"DTB3",0.71,2026-03-11,2026-03-11
2020-03-05,"DTB3",0.61,2026-03-11,2026-03-11
2020-03-06,"DTB3",0.45,2026-03-11,2026-03-11
2020-03-09,"DTB3",0.32,2026-03-11,2026-03-11
2020-03-10,"DTB3",0.43,2026-03-11,2026-03-11
2020-03-11,"DTB3",0.41,2026-03-11,2026-03-11
2020-03-12,"DTB3",0.33,2026-03-11,2026-03-11
2020-03-13,"DTB3",0.27,2026-03-11,2026-03-11
2020-03-16,"DTB3",0.24,2026-03-11,2026-03-11
2020-03-17,"DTB3",0.19,2026-03-11,2026-03-11
2020-03-18,"DTB3",0.02,2026-03-11,2026-03-11
2020-03-19,"DTB3",0.04,2026-03-11,2026-03-11
2020-03-20,"DTB3",0.05,2026-03-11,2026-03-11
2020-03-23,"DTB3",0.02,2026-03-11,2026-03-11
2020-03-24,"DTB3",0.01,2026-03-11,2026-03-11
2020-03-25,"DTB3",-0.04,2026-03-11,2026-03-11
2020-03-26,"DTB3",-0.05,2026-03-11,2026-03-11
2020-03-27,"DTB3",0.03,2026-03-11,2026-03-11
2020-03-30,"DTB3",0.12,2026-03-11,2026-03-11
2020-03-31,"DTB3",0.11,2026-03-11,2026-03-11
2020-04-01,"DTB3",0.09,2026-03-11,2026-03-11
2020-04-02,"DTB3",0.09,2026-03-11,2026-03-11
2020-04-03,"DTB3",0.1,2026-03-11,2026-03-11
2020-04-06,"DTB3",0.15,2026-03-11,2026-03-11
2020-04-07,"DTB3",0.14,2026-03-11,2026-03-11
2020-04-08,"DTB3",0.22,2026-03-11,2026-03-11
2020-04-09,"DTB3",0.25,2026-03-11,2026-03-11
2020-04-10,"DTB3",NA,2026-03-11,2026-03-11
2020-04-13,"DTB3",0.26,2026-03-11,2026-03-11
2020-04-14,"DTB3",0.2,2026-03-11,2026-03-11
2020-04-15,"DTB3",0.14,2026-03-11,2026-03-11
2020-04-16,"DTB3",0.14,2026-03-11,2026-03-11
2020-04-17,"DTB3",0.12,2026-03-11,2026-03-11
2020-04-20,"DTB3",0.12,2026-03-11,2026-03-11
2020-04-21,"DTB3",0.11,2026-03-11,2026-03-11
2020-04-22,"DTB3",0.12,2026-03-11,2026-03-11
2020-04-23,"DTB3",0.11,2026-03-11,2026-03-11
2020-04-24,"DTB3",0.12,2026-03-11,2026-03-11
2020-04-27,"DTB3",0.12,2026-03-11,2026-03-11
2020-04-28,"DTB3",0.11,2026-03-11,2026-03-11
